Дата,Направление,Тема,Что делала,Артефакты,Сложность,Время,Комментарий
2026-04-24,Математика,Unit 10: Circles,Изучила площадь и длину окружности (включая части круга) на Khan Academy,-,2,.30ч,Понимание зависимости площади от радиуса. Подготовка к вычислительной геометрии.
2026-04-24,Алгоритмы,Тест VK Education 1.6,"Прошла тест по теме Очереди, деки и стек. Закрепила понимание работы линейных структур данных.",-,3,.27ч,Все темы модуля 1.6 освоены.
2026-04-24,Карточки,Go: defer,"Переработана карточка #14: defer. Добавлены детали про LIFO, вычисление аргументов, open-coded defer (1.14+) и пример из RAG-сервиса.",Программирование Карточки.csv,2,.52ч,Добавлен раздел с типичными вопросами на собеседовании.
2026-04-24,Алгоритмы,LeetCode 217: Contains Duplicate,"Решена первая задача из роадмапа NeetCode. Закрепила использование map[T]struct{} как HashSet и оптимизацию аллокации через make.",day_19/main.go,1,0.5ч,Разобрали разницу между range и циклом по индексу.
2026-04-24,Алгоритмы,LeetCode 242: Valid Anagram,"Решена задача на анаграммы. Использован массив [26]int для оптимизации памяти до O(1).",day_19/main.go,2,0.5ч,Разобрали работу с ASCII-смещениями (r - 'a')."
2026-04-24,Алгоритмы,Практика: findTwiceSymbols,"Решена задача на поиск символов, встречающихся ровно дважды. Реализован двухпроходный алгоритм для сохранения порядка.",day_19/main.go,2,0.4ч,Паттерн: Frequency Counting + Two-pass для сохранения порядка."
2026-04-24,Алгоритмы,LeetCode 387: First Unique Character,"Решена задача на поиск первого уникального символа. Использован двухпроходный алгоритм с массивом частот [26]int.",day_19/main.go,1,0.3ч,Оптимизация: O(n) время и O(1) память."
2026-04-24,Алгоритмы,LeetCode 2351: First Letter Twice,"Решена задача на поиск первого повторяющегося символа. Использован однопроходный алгоритм с ранним выходом.",day_19/main.go,1,0.3ч,Максимальная эффективность за счет выхода при первом дубликате."
2026-04-24,Алгоритмы,LeetCode 49: Group Anagrams,"Решена первая задача уровня Medium. Использован массив [26]int как ключ мапы для группировки слов.",day_19/main.go,3,0.5ч,Изучили сравниваемость массивов в Go и оптимизацию очистки памяти."
2026-04-24,Алгоритмы,LeetCode 1: Two Sum,"Решена классическая задача на поиск пары чисел. Использована мапа для поиска дополнения за один проход.",day_19/main.go,2,0.4ч,Паттерн: One-pass HashMap."
2026-04-24,Математика,Unit 10: Volume of cylinders,"Изучила расчет объема цилиндров, завершила основную часть Unit 10.",-,2,1.32ч,Осталось 2 квиза до полного завершения юнита."
2026-04-25,Математика,Unit 10: Circles/Cylinders/Cones/Spheres,"Завершены финальные квизы по Unit 10. Закрепила формулы объемов и площадей.",-,2,.40ч,Unit 10 готов!
2026-04-25,Математика,Unit 11: Angle relationships,"Изучены вертикальные, смежные и дополняющие углы.",-,2,.50ч,Практика на базовые зависимости углов.
2026-04-25,Математика,Unit 11: Missing angles,"Решение задач на нахождение недостающих углов через линейные уравнения.",-,2,.82ч,Закрепила составление уравнений на основе свойств углов.
2026-04-25,Математика,Unit 11: Parallel lines and transversals,"Изучены свойства углов при пересечении параллельных прямых секущей.",-,2,.47ч,Практика на соответственные и накрест лежащие углы.
2026-04-25,Карточки,Go: Повторение,"Повторила карточки по Go (Goroutines, Channels, Mutex, Defer и др.) из файла Программирование Карточки.csv",-,1,.81ч,Интервальное повторение.
2026-04-25,Алгоритмы,LeetCode 205: Isomorphic Strings,"Решена задача на проверку изоморфности строк. Использован паттерн отслеживания индекса последнего появления (Last Seen Index) с двумя массивами.",day_20/main.go,2,0.6ч,Оптимизация памяти до O(1) через фиксированные массивы [256]int."
2026-04-25,Алгоритмы,LeetCode 219: Contains Duplicate II,"Решена задача на поиск дубликатов в окне K. Использована мапа для хранения последнего индекса каждого числа.",day_20/main.go,2,0.4ч,Паттерн: Hash Map для хранения состояния индексов."
2026-04-25,Математика,Unit 11: Angle relationships,"Полностью завершен юнит по углам. Изучены свойства треугольников, параллельных прямых и решение задач на поиск углов.",-,3,5.08ч,Геометрическая база Фазы 0 значительно укреплена.
2026-04-25,Алгоритмы,LeetCode 1002: Find Common Chars,"Решена задача на поиск общих символов. Использован двухпроходный алгоритм с массивами частот и min() для пересечения.",day_20/main.go,2,2.45ч,Паттерн: Frequency Counting Intersection."
2026-04-25,Алгоритмы,LeetCode 350: Intersection of Two Arrays II,"Решена задача на пересечение двух массивов с учетом частот. Использован массив частот [1001]int для оптимизации памяти до O(1).",day_20/main.go,2,0.5ч,Паттерн: Frequency Counting Intersection."
2026-04-26,Алгоритмы,LeetCode 383: Ransom Note,"Решена задача на проверку достаточности символов. Использован массив частот для инвентаризации ресурсов.",day_21/main.go,2,0.5ч,Паттерн: Frequency Counting Sufficiency."
2026-04-26,Алгоритмы,LeetCode 1189: Max Number of Balloons,"Решена задача на поиск лимитирующего ресурса. Использован паттерн Frequency Counting с расчетом потенциала каждой буквы.",day_21/main.go,2,0.5ч,Паттерн: Frequency Counting Limiting Factor."
2026-04-26,Карточки,Повторение,Повторила карточки по Go (особое внимание рунам и строкам),Программирование Карточки.csv,1,0.6ч,Закрепила понимание UTF-8 и рун.
2026-04-26,Алгоритмы,LeetCode 347: Top K Frequent Elements,"Решена первая задача уровня Medium. Использован Bucket Sort для достижения O(N) сложности.",day_21/main.go,3,0.8ч,Паттерн: Bucket Sort."
2026-04-26,Книги,Грокаем алгоритмы (Глава 1),"Изучен бинарный поиск и O-нотация. Реализован классический Binary Search.",day_21/main.go,1,1.0ч,Построение интуиции и базового поиска."
2026-04-26,Книги,Грокаем алгоритмы (Глава 2),"Изучена разница между массивами и связными списками, а также алгоритм сортировки выбором.",day_21/main.go,1,0.75ч,Понимание структур данных и O(n^2) сортировки."
2026-04-26,Математика,Unit 12: Scale,"Изучены масштабирование, пропорции и работа с чертежами/картами.",-,2,1.25ч,Понимание пропорционального изменения величин."
2026-04-26,Алгоритмы,LeetCode 451: Sort Characters By Frequency,"Оптимизирована задача на сортировку по частоте. Использован подход Frequency Map + Sort Unique Chars (O(N) + O(K log K)) с strings.Builder. Достигнута O(N) сложность.",day_21/main.go,3,0.5ч,Паттерн: Bucket Sort String Construction."
2026-04-27,Алгоритмы,LeetCode 1636: Sort Array by Increasing Frequency,"Решена задача на сортировку по частоте с кастомной логикой. Использован Bucket Sort и slices.SortFunc для сортировки внутри бакетов.",day_22/main.go,2,0.7ч,Паттерн: Bucket Sort with internal sorting."
2026-04-27,Карточки,Повторение,Повторила карточки по Go (интенсивное повторение),Программирование Карточки.csv,1,0.5ч,Закрепление базы перед новыми задачами.
2026-04-27,Алгоритмы,LeetCode 692: Top K Frequent Words,"Решена задача на поиск топ-K слов. Использован Bucket Sort с лексикографической сортировкой внутри бакетов.",day_22/main.go,3,0.8ч,Паттерн: Bucket Sort Lexicographical."
2026-04-27,Алгоритмы,LeetCode 238: Product of Array Except Self,"Решена задача на вычисление произведения всех элементов, кроме текущего. Использован паттерн Prefix & Suffix Products.",day_22/main.go,3,0.5ч,Паттерн: Prefix & Suffix Products O(N) time O(1) space."
2026-04-27,Алгоритмы,LeetCode 303: Range Sum Query - Immutable,"Решена задача на префиксные суммы. Реализованы Constructor и SumRange.",day_22/main.go,2,0.6ч,Паттерн: Prefix Sums."
2026-04-29,Алгоритмы,LeetCode 128: Longest Consecutive Sequence,"Решена последняя задача в блоке Arrays & Hashing. Использован Intelligent HashSet Search.",day_22/main.go,3,0.8ч,Паттерн: Intelligent HashSet Search."
2026-04-29,Алгоритмы,LeetCode 128: Longest Consecutive Sequence,"Решена последняя задача в блоке Arrays & Hashing. Использован Intelligent HashSet Search.",day_24/main.go,3,0.8ч,Паттерн: Intelligent HashSet Search."
2026-04-30,Алгоритмы,LeetCode 387: First Unique Character (разминка),"Решена задача на поиск первого уникального символа через два прохода с массивом частот.",day_25/main.go,1,0.3ч,Разминка: O(N) time O(1) space."
2026-04-30,Алгоритмы,LeetCode 202: Happy Number,"Решена задача двумя способами: через HashSet и алгоритм Флойда (Черепаха и Заяц). Достигнута O(1) space сложность.",day_25/main.go,2,1.2ч,Паттерн: Cycle Detection (Floyd's Algorithm)."
2026-04-30,Алгоритмы,LeetCode 36: Valid Sudoku,"Решена задача на валидацию матрицы 9x9. Использованы три двумерных массива bool для O(1) проверки дубликатов в строках, колонках и боксах.",day_25/main.go,2,0.8ч,Паттерн: Matrix Validation with Direct Addressing."
2026-04-30,Алгоритмы,LeetCode 532: K-diff Pairs in an Array,"Решена задача на поиск уникальных пар с заданной разницей k. Использован HashMap для подсчета частот и поиска пары. Учтены случаи k=0 и k>0.",day_25/main.go,2,0.6ч,Паттерн: HashMap / Two Pointers (conceptual)."
2026-04-30,Математика,Khan Academy: Geometric Transformations - Translations,"Изучены перемещения (translations) фигур на координатной плоскости. Понимание векторов перемещения и их применения.",Khan Academy,2,0.58ч,Unit 14: Geometric transformations
2026-04-30,Математика,Khan Academy: Geometric Transformations - Rotations,"Изучены повороты (rotations) фигур вокруг точки. Практика поворотов на 90, 180, 270 градусов.",Khan Academy,2,0.75ч,Продолжение Unit 14
2026-04-30,Математика,Khan Academy: Geometric Transformations - Reflections,"Изучены отражения (reflections) относительно осей и прямых. Понимание симметрии фигур.",Khan Academy,2,0.5ч,Завершение Unit 14
2026-05-01,Алгоритмы,Разминка: LeetCode 2351. First Letter Twice,"Повторение решения задачи на поиск первого повторяющегося символа. Использован массив [26]bool для отслеживания встреченных букв. Исправлена ошибка: размер массива должен быть 26, а не 25.",day_26/main.go,1,0.3ч,Warm-up по плану NeetCode
2026-05-01,Алгоритмы,LeetCode 380. Insert Delete GetRandom O(1),"Реализована структура данных RandomizedSet с операциями Insert, Remove, GetRandom за O(1). Использована комбинация среза и мапы: срез для getRandom по индексу, мапа для O(1) lookup. При удалении: swap with last + pop для O(1).",day_26/main.go,3,1.5ч,Последняя задача в блоке Arrays & Hashing NeetCode 150
2026-05-01,SQL,DataCamp - Introduction to SQL (Lesson 1),"Пройден первый урок курса. Основы SELECT и запросов к таблицам. Курс платный, переключилась на бесплатную альтернативу.",DataCamp,-,0.25ч,Переход на sql-academy.org
2026-05-01,SQL,sql-academy.org - Основы SQL,"Пройдены модули: Введение, Фундаментальные основы, начат модуль 'Основы выборки I' (Литералы, Применение функций). Практические задачи на SELECT и базовые функции.",sql-academy.org,2,0.67ч,Первое знакомство с платформой
2026-05-01,Карточки,Go - Встроенные типы (вопросы для собеседования),"Добавлены 5 вопросов для собеседования в карточку 'Встроенные типы в Go': разница int/uint и underflow, неизменяемость строк, nil-мапа vs nil-слайс. Разобраны ответы.","Программирование Карточки.csv",2,1.0ч,Подготовка к собеседованиям
2026-05-01,Алгоритмы,LeetCode 125. Valid Palindrome,"Реализована проверка палиндрома через Two Pointers. O(n) time, O(1) space. Пропуск не-alphanumeric символов с обеих сторон, сравнение в lowercase через unicode.ToLower. Оценка L1 — паттерн Two Pointers не был очевиден без контекста темы.",day_26/main.go,1,1.25ч,Первый блок Two Pointers
2026-05-01,Алгоритмы,LeetCode 344. Reverse String,"Реализован разворот строки через Two Pointers с swap in-place. O(n) time, O(1) space. Паттерн 'швейцарский нож' (swap-цикл) применён самостоятельно. Оценка L4.",day_26/main.go,1,0.25ч,Закрепление Two Pointers
2026-05-01,Алгоритмы,LeetCode 283. Move Zeroes,"Реализовано перемещение нулей в конец массива через Two Pointers (fast & slow). O(n) time, O(1) space. Первый указатель читает, второй пишет ненулевые элементы, хвост заполняется нулями. Оценка L4 - самостоятельное решение.",day_26/main.go,1,0.75ч,Прогресс: L1 -> L4 по Two Pointers
2026-05-02,Алгоритмы,LeetCode 49: Group Anagrams (разминка),"Решена разминочная задача на группировку анаграмм. Использован map[[26]int]int для отображения частотного профиля на индекс группы. Предварительное выделение памяти make([][]string, len(strs)) + отслеживание idx для новых групп. Возврат s[:idx] для отсечения пустых слотов.",day_27/main.go,2,0.75ч,Разминка без тестов. Начало сессии Two Pointers.
2026-05-02,Алгоритмы,LeetCode 977: Squares of a Sorted Array,"Решена задача на квадраты отсортированного массива через Two Pointers с заполнением с конца. O(n) time, O(n) space. Первый алгоритм содержал ошибки в направлении заполнения и логике сравнения — исправлено через наводящие вопросы. Второй алгоритм корректен: i/j с краёв, idx с конца результата, запись большего квадрата.",day_27/main.go,2,0.5ч,Оценка L3. Паттерн Two Pointers (fill from end). Ревью: 2026-05-04.
2026-05-02,Алгоритмы,LeetCode 167: Two Sum II - Input Array Is Sorted,"Решена задача на поиск пары с заданной суммой в отсортированном массиве через Two Pointers. O(n) time, O(1) space. Первая попытка содержала ошибки: проверка разности вместо суммы, условие num[j] > target, ложная логика обнуления указателя. Исправлено через наводящие вопросы. Вторая попытка корректна.",day_27/main.go,2,0.5ч,Оценка L3. Паттерн: Two Pointers на отсортированном массиве. Ревью: 2026-05-04.
2026-05-03,Алгоритмы,LeetCode 219: Contains Duplicate II (разминка),"Решена разминочная задача через HashMap (число → индекс). O(n) time, O(n) space. Проверка наличия в map, затем сравнение разности индексов с k. При разности > k — перезапись индекса. Вербализация + код без подсказок.",day_28/main.go,1,0.25ч,"Разминка без тестов. Ревью через 5 недель: 2026-06-07."
2026-05-03,Алгоритмы,LeetCode 680: Valid Palindrome II,"Решена задача через Two Pointers + вспомогательная функция isPalindrome. При несовпадении s[i] != s[j] проверяются две подстроки (исключаем левый или правый символ). O(n) time, O(1) space. Алгоритм вербализован и переписан несколько раз с наводящими вопросами до корректной реализации.",day_28/main.go,2,1.5ч,"Оценка L2. Паттерн: Two Pointers с skip check. Ревью: 2026-05-05."
2026-05-03,Алгоритмы,LeetCode 1768: Merge Strings Alternately,Решена задача на чередование строк через Two Pointers + strings.Builder. O(n+m) time\, O(n+m) space.,day_28/main.go,1,0.7ч,L2. Подсказки по edge cases (границы циклов). Ревью: 2026-05-15
2026-05-03,Алгоритмы,LeetCode 88: Merge Sorted Array,Решена задача слияния двух отсортированных массивов in-place. Two Pointers с конца (fill from end): три индекса (first\, second\, writeIdx). O(m+n) time\, O(1) space.,day_28/main.go,1,1.5ч,L1. Ключевой инсайт пришёл после наводящих вопросов. Ревью: 2026-05-06
2026-05-03,Математика,Khan Academy - Course Challenge: Basic Geometry and Measurement,Прохождение итогового испытания курса. Закрепление тем: периметр\, площадь\, объём\, теорема Пифагора\, геометрические преобразования.,Khan Academy,2,0.6ч,Завершён курс Basic Geometry and Measurement.
2026-05-04,Алгоритмы,LeetCode 1002: Find Common Characters (разминка),Решена задача на поиск общих символов через Frequency Intersection. [26]int baseline + min с каждым словом. O(N*L) time\, O(1) space.,day_29/main.go,1,0.6ч,Разминка без тестов. Хорошо усвоено. Ревью через 2 месяца: 2026-07-04.
2026-05-04,Алгоритмы,LeetCode 392: Is Subsequence,Решена задача на проверку подпоследовательности через Two Pointers. i для s\, j для t. j++ всегда\, i++ только при совпадении. O(n) time\, O(1) space.,day_29/main.go,1,0.5ч,⚪ L5. Решена самостоятельно без подсказок. Ревью: 2026-09-04.
2026-05-04,Алгоритмы,LeetCode 26: Remove Duplicates from Sorted Array,Решена задача на удаление дубликатов через Two Pointers (fast & slow). Перезапись уникальных элементов в начало массива. O(n) time\, O(1) space.,day_29/main.go,1,0.8ч,🟡 L3. Паттерн применён сама\, но начальные индексы и count требовали подсказок. Ревью: 2026-05-05.
2026-05-04,Алгоритмы,LeetCode 15: 3Sum,Решена задача поиска троек с суммой 0 через Sort + Two Pointers. Дедупликация на трёх уровнях (i\, j\, k). O(n²) time\, O(1) space.,day_29/main.go,2,1.4ч,🟠 L2. Ключевые инсайты (Two Pointers с концов\, дедупликация) пришли после наводящих вопросов. Ревью: 2026-05-06.
2026-05-04,Математика,Khan Academy - Pre-algebra Unit 8: Percent & rational number word problems,Продолжение изучения предалгебры. Задачи на проценты и рациональные числа.,Khan Academy,2,19 мин,В процессе прохождения курса.
2026-05-05,Алгоритмы,LeetCode 350: Intersection of Two Arrays II (разминка),Решена задача пересечения массивов через HashMap (одна мапа: freq из nums1 + проход nums2). O(n+m) time\, O(min(n\,m)) space.,day_30/main.go,1,0.3ч,Разминка. Нужно повторить через 10 дней: 2026-05-15.
2026-05-05,Информатика,Nand to Tetris - Lab 1: Boolean Logic,Реализованы логические гейты: NOT\, AND\, OR\, XOR\, MUX на HDL. MUX потребовал дополнительного осмысления.,Nand to Tetris,2,2.1ч,Lab 1 частично (без DMUX). MUX требует закрепления.
2026-05-05,Программирование,SQL Academy - IS NULL\, BETWEEN\, IN,Изучение SQL-операторов через практические задачи по схеме Расписание. JOIN\, фильтрация\, работа с датами.,sql-academy.org,1,61 мин,В процессе изучения SQL.
2026-05-05,Алгоритмы,LeetCode 18: 4Sum,"Решена задача на поиск четвёрок с заданной суммой. Sort + Two Pointers с двумя вложенными циклами (a, b) и Two Pointers (c, d). Дедупликация на всех четырёх уровнях. Добавлен pruning: проверка мин/макс возможной суммы для ранних выходов. TDD: 3 теста.",day_30/main.go,3,2.2ч,"🟠 L2. Паттерн: Two Pointers + Sorting + Nested Loops + Pruning. Ключевые инсайты (вложенные циклы, инициализация b, дедупликация c/d через for, pruning) пришли после наводящих вопросов. Ревью: 2026-05-07."
2026-05-05,Карточки,Anki - повторение,"Повторение переработанных карточек по Go в Anki. Интервальное повторение для закрепления материала в долговременной памяти.",Программирование Карточки.csv,1,2.3ч,Интервальное повторение перед сном.
2026-05-06,Алгоритмы,LeetCode 383: Ransom Note (разминка),"Разминочное решение через Frequency Counting. [26]int для частот ransomNote + проход magazine с уменьшением. Early return при недостаточной длине. O(n+m) time, O(1) space.",day_31/main.go,1,0.4ч,"🟢 L4. Разминка без тестов. Небольшой баг с индексом (arr[magazine[i]] вместо -'a') — быстро исправлено. Ревью: 2026-06-06."
2026-05-06,Алгоритмы,LeetCode 189: Rotate Array,"Решена задача поворота массива на k шагов in-place. Алгоритм трёх reverse: полный → первые k → оставшиеся. Early return при k==0 и len<=1. k = k % len при k >= len. TDD: 5 тестов (classic, negatives, k=len, k=0, single element).",day_31/main.go,2,1ч,"🟡 L3. Паттерн: Triple Reverse. Reverse-подход пришёл после наводящего вопроса, early exit потребовал уточнения. Ревью: 2026-05-08."
2026-05-06,Алгоритмы,LeetCode 11: Container With Most Water,"Решена задача поиска максимальной площади контейнера. Two Pointers с краёв массива: площадь = min * distance. Двигаем указатель с меньшей высотой внутрь. O(n) time, O(1) space. TDD: 2 теста (classic, minimal).",day_31/main.go,2,0.8ч,"🟠 L2. Паттерн: Two Pointers (maximization). Не дошла сама до Two Pointers с краёв — потребовался наводящий вопрос. Код чистый. Ревью: 2026-05-08."
2026-05-06,Nand to Tetris,Lab 1: Combinational Chips (DMUX + 16-bit gates),"Реализованы вентили DMUX, NOT16, AND16, OR16, MUX16 на HDL. DMUX — демультиплексор: 1 вход распределяется на 2 выхода по селектору. 16-битные вентили — поэлементное применение базовых 1-битных операций к 16-битным шинам.",Nand2Tetris Hardware Simulator,2,2.2ч,"DMUX через data flow (AND-клапаны + инвертированный sel). 16-битные вентили — тривиальное каскадирование 1-битных вентилей. MUX16 повторяет логику MUX для каждого бита шины."
2026-05-06,Алгоритмы,LeetCode 881: Boats to Save People,"Решена задача спасения людей на лодках. Sort + Two Pointers с краёв: pairing самого лёгкого и самого тяжёлого. Если sum <= limit — оба в одну лодку, иначе тяжёлый один. O(n log n) time (sort), O(1) space. TDD: 3 теста (classic, unsorted, heavy pair).",day_31/main.go,2,1.3ч,"🟠 L2. Паттерн: Two Pointers (greedy pairing). Сортировка + два указателя пришли самостоятельно, но реализация требовала множества итераций и наводящих вопросов (зацикливание, дублирование, мёртвый код). Ревью: 2026-05-08."
2026-05-06,SQL,sql-academy.org - Оператор LIKE,"Практика SQL-запросов с оператором LIKE/ILIKE. 5 задач: простой поиск подстроки, регистронезависимый поиск (ILIKE), OR с несколькими условиями, JOIN + ILIKE, NOT ILIKE для исключения. Схема Расписание, PostgreSQL.",sql-academy.org,1,0.8ч,"Пройдены паттерны: %...%, ILIKE, OR/AND с LIKE, JOIN + LIKE, NOT ILIKE. Работает на PostgreSQL (ILIKE доступен)."
2026-05-07,Алгоритмы,LeetCode 1189: Max Num of Balloons (разминка),"Повторение решения через Frequency Counting. Массив [26]int для подсчёта частот. Ключевой инсайт: min(t[i]/b[i]) для всех букв из \"balloon\", без защитного условия t[i] >= b[i] — оно скрывало ошибку при отсутствии буквы. O(n) time, O(1) space.",day_32/main.go,2,1.2ч,"🟠 L2. Повторение через неделю (2026-05-14). Паттерн: Frequency Counting / Limiting Factor. Сама вспомнила подход, но баг с защитным условием t[i] >= b[i] потребовал объяснения."
2026-05-07,Алгоритмы,LeetCode 42: Trapping Rain Water,"Решена задача сбора дождевой воды между зданиями. Two Pointers с накопительными максимумами: maxLeft и maxRight инициализируются крайними элементами. Указатель с меньшей опорой двигается внутрь. Если встречаем стену ниже опоры — накапливаем воду, иначе — обновляем опору. O(n) time, O(1) space. TDD: 2 теста (classic, large).",day_32/main.go,3,1.3ч,"🔴 L1. Паттерн: Two Pointers (Prefix Max). Посмотрела разбор на YouTube перед решением. Реализация через наводящие вопросы. Повторение через 2 недели: 2026-05-21."
2026-05-08,Алгоритмы,LeetCode 347: Top K Frequent Elements (разминка),"Повторное решение через Bucket Sort. O(n) time, O(n) space.",day_33/main.go,2,1ч,Разминка без тестов. Исправлен shadowing переменной k.
2026-05-08,Go,The Nature of Go Programming занятие №2 | Основы Computer Science | Часть 2,"Просмотр лекции и сдача теста.",igoroutine.courses,2,3.1ч,Продолжение курса по глубинному Go.
2026-05-08,Алгоритмы,LeetCode 917: Reverse Only Letters,"Решена задача на переворачивание только букв в строке. Two Pointers с пропуском не-букв через unicode.IsLetter. O(n) time, O(n) space.",day_33/main.go,1,1.2ч,Решена самостоятельно без подсказок по алгоритму.
2026-05-08,Алгоритмы,LeetCode 680: Valid Palindrome II (review),"Решена задача через Two Pointers + вспомогательная функция isPalindrome. O(n) time, O(1) space.",day_33/main.go,1,0.8ч,🟡 L3. Повторение. Подсказки по логике проверки подстрок (|| vs &&).
2026-05-08,SQL,sql-academy.org - Регулярные выражения,"Практика SQL-запросов с регулярными выражениями по схеме Расписание. 4 задачи: гласные в именах, чистые фамилии, адрес с квартирой, предметы без цифр.",sql-academy.org,2,1.1ч,Паттерны: ^...$, [...], [^...], \y, +, .*, ~*
2026-05-09,Алгоритмы,LeetCode 5: Longest Palindromic Substring,"Решена задача поиска самой длинной палиндромной подстроки через expand around center. Для каждой позиции проверяются два типа центров: нечётный (i=center, j=center) и чётный (i=center, j=center+1). Расширение влево-вправо пока символы совпадают. O(n²) time, O(1) space.",day_34/main.go,2,3.2ч,🔴 L1. Множество наводящих вопросов по алгоритму expand around center (центры, чётность, внутренний цикл). Ревью: 2026-05-16.
2026-05-09,Алгоритмы,Warm-up: 451. Sort Characters By Frequency,"Повторение решения через Bucket Sort. O(n) time, O(n) space. Map[byte]int для частот + [][]byte bucket по частотам. Разминка без подсказок.",day_34/main.go,1,1.6ч,Разминка. Алгоритм корректен. Тесты падают из-за рандомного порядка итерации map в Go — символы с одинаковой частотой выводятся в разном порядке.
2026-05-10,Алгоритмы,Warm-up: 1636. Sort Array by Increasing Frequency,"Повторение решения через Bucket Sort. [201]int для частот чисел [-100,100], [][]int bucket по частотам, сортировка внутри бакета по убыванию для tie-breaker. O(n) time, O(n) space.",day_35/main.go,1,1.0ч,Разминка. Решена самостоятельно без подсказок. Bucket sort + slices.SortFunc для tie-breaker.
2026-05-11,Алгоритмы,LeetCode 1732: Find the Highest Altitude (разминка),"Решена задача на максимальную высоту. Prefix sum + отслеживание максимума. O(n) time, O(1) space.",day_36/main.go,1,0.5ч,Разминка без тестов. Решена самостоятельно без подсказок.
2026-05-11,Собеседование,LeetCode 167: Two Sum II - Input Array Is Sorted (видео-разбор),"Записала видео с полным объяснением алгоритма Two Pointers на отсортированном массиве. Опубликовала первый пост в Telegram-канале.","Telegram-канал, day_27/main.go",2,4.5ч,Тренировка объяснения кода и алгоритмов как на собеседовании. Первая публичная запись.
2026-05-11,Nand to Tetris,Сумматор и ALU,"Реализованы HalfAdder (сумма и перенос из двух бит) и FullAdder (сумма с учётом входного переноса).","Nand to Tetris Hardware Simulator",2,1.5ч,"Lab 2 частично. HalfAdder: XOR для sum, AND для carry. FullAdder: каскад из двух HalfAdder + OR для объединения переносов."
2026-05-11,SQL,sql-academy — Сортировка и ORDER BY,"Практика на схеме 'Расписание'. Решены 3 задачи: сортировка учеников по ФИО, хронология уроков за день (JOIN + ORDER BY по времени), поиск 5 самых молодых учеников (ORDER BY DESC + LIMIT).",sql-academy.org,1,0.6ч,"Закреплены: ORDER BY, ORDER BY DESC, LIMIT. В задаче 2 освоены JOIN с 3 таблицами (Subject, Timepair, Class)."
2026-05-11,Карточки,Anki — повторение,"Интервальное повторение карточек по Go в Anki.",Программирование Карточки.csv,1,1.0ч,Регулярное повторение для закрепления в долговременной памяти.
2026-05-11,Карточки,Anki — создание карточек по алгоритмам,"Составлены 2 карточки по задаче LeetCode 1732: Find the Highest Altitude. Type A — Pattern Recognition (Prefix Sum + O(n)/O(1)), Type B — Algorithm Mechanics (две переменные и порядок обновления).",Программирование Карточки.csv,2,0.3ч,"Применена новая методология: 2–3 карточки на задачу (Pattern / Mechanics / Edge Case). Для простых задач достаточно 2 карточек."
2026-05-11,Алгоритмы,LeetCode 1480: Running Sum of 1d Array (разминка),"Решена задача на накопительную сумму. Prefix sum: sum = nums[0], res[0] = nums[0], цикл от i=1 с накоплением. O(n) time, O(n) space.",day_36/main.go,1,0.3ч,Разминка без тестов. Вербализация и код без подсказок.
2026-05-12,Алгоритмы,LeetCode 724: Find Pivot Index (разминка),"Решена задача на поиск опорного индекса через prefix sum. Два прохода: total sum + left/right balance. O(n) time, O(1) space.",day_37/main.go,1,0.8ч,Разминка без тестов. Вербализация и код без подсказок.
2026-05-12,Карточки,Anki — создание карточек по алгоритмам,"Составлены 3 карточки по задаче LeetCode 724: Find Pivot Index. Type A — Pattern Recognition (Prefix Sum two-pass + O(n)/O(1)), Type B — Algorithm Mechanics (две переменные и порядок вычитания/сравнения/добавления), Type C — Edge Case (массив из одного элемента → индекс 0).",Программирование Карточки.csv,2,0.4ч,"Продолжение применения методологии 2–3 карточки на задачу."
2026-05-12,Go,The Nature of Go — Занятие №3 | Основы Computer Science | Часть 3,"Просмотр лекции по основам Computer Science в контексте Go.",igoroutine.courses,2,2.5ч,Продолжение курса по глубинному пониманию Go.
2026-05-12,Алгоритмы,LeetCode 1991: Find the Middle Index in Array,"Решена задача на поиск middle index через prefix sum. Два прохода: total sum + left/right balance. O(n) time, O(1) space.",day_37/main.go,1,0.5ч,"Дополнительная практика на тот же паттерн, что и 724. Тесты: классический случай, middle index в конце, отсутствие решения."
2026-05-13,Алгоритмы,LeetCode 202: Happy Number (разминка),"Решена задача на счастливое число через алгоритм Флойда (черепаха и заяц). getNext для суммы квадратов цифр. slow/fast pointers для детекции цикла. O(1) time (bounded), O(1) space.",day_38/main.go,1,0.6ч,"Разминка без тестов. Вербализация принята на предыдущей сессии, код написан сегодня. Floyd Cycle Detection: getNext + slow/fast."
2026-05-13,Карточки,Anki — создание карточек по алгоритмам (LC 202),"Составлены 3 карточки по задаче LeetCode 202: Happy Number. Type A — Pattern Recognition (Floyd Cycle Detection + O(1)/O(1)). Type B — Algorithm Mechanics (инициализация slow/fast, шаги цикла). Type C — Edge Case & Complexity (n=1, n=2, bounded space).",Программирование Карточки.csv,2,0.2ч,"Методология: 3 карточки на задачу. Без кода на тыле, только паттерны и шаги. Добавлены в Anki с тегами leetcode, floyd_cycle, pattern, mechanics, edge_case."
